hotel_id,city,name,address,postalcode
431,Cooksburg,Gateway Lodge,14870 Route 36,16217
432,Cooper Landing,Sunrise Inn,Mile 45 Sterling Hwy,99572
433,Cooperstown,Mohican Motel,90 Chestnut St,13326
434,Copper Harbor,North Port Motel,258 Brockway Ave,49918
435,Coralville,Best Western Cantebury Inn & Suites,704 1st Ave,52241
436,Coralville,Econo Lodge,815 1st Ave,52241
437,Coralville,MainStay Suites,2491 Holiday Rd,52241
438,Corbin,Fairfield Inn Corbin,25 Highway 770,40701
439,Cornersville,Econo Lodge,3731 Pulaski Hwy,37047
440,Corning,Parkview Motel,1617 W Main St,72422
441,Coronado,1906 Lodge At Coronado Beach,1060 Adella Ave,92118
442,Corpus Christi,Americas Best Value Inn-corpus Christi North/airport,910 Corn Product Rd,78409
443,Corrales,The Chocolate Turtle Bed & Breakfast,1098 W Meadowlark Ln,87048
444,Corsicana,La Quinta Inn & Suites Corsicana,2020 Regal Dr,75109
445,Cortez,National 9 Inn-sand Canyon,301 W Main St,81321
446,Cortez,Travelodge Cortez,1120 E Main St,81321
447,Corvallis,Econo Lodge,935 NW Garfield Ave,97330
448,Corvallis,University Inn Corvallis,350 Sw 4th St,97333
449,Corydon,Comfort Inn Corydon,115 Sky Park Dr NE,47112
450,Cosby,The Cub Motel,4350 Cosby Hwy,37722
451,Coshocton,Roscoe Motor Inn,421 S Whitewoman St,43812
452,Costa Mesa,Ramada Costa Mesa/Newport Beach,1680 Superior Ave,92627
453,Cotulla,Cotulla Motel,301 N Main St,78014
454,Crawfordsville,Super 8 Crawfordsville,1020 Corey Blvd,47933
455,Creedmoor,Econo Lodge,2574 W Lyon Station Rd,27522
456,Crested Butte,The Inn At Crested Butte,510 Whiterock Ave,81224
457,Crestview,Baymont Inn & Suites Crestview,4040 S Ferdon Blvd,32536
458,Crestview,Econo Lodge,3101 S Ferdon Blvd,32536
459,Culver,Culver Cove Resort,319 E Jefferson St,46511-1507
460,Culver City,Westchester Hotel,5630 Sawtelle Blvd,90230
461,Dalhart,Western Skies Motor Inn,623 Denver Ave,79022
462,Dallas,Best Western Dallas Inn & Suites,250 Orchard Dr,97338
463,Dallas,Hampton Inn & Suites Dallas/Cockrell Hill I-30,1718 N Cockrell Hill Rd,75211-1313
464,Danbury,Hat City Tavern,18 Old Ridgebury Rd,6810
465,Danbury,Quality Inn & Suites,78 Federal Rd,6810
466,Danville,Best Western Danville Inn,79 Old Valley School Rd,17821
467,Danville,Best Western Regency Inn,360 Eastgate Dr,61834
468,Danville,Best Western Riverside Inn,57 S Gilbert St,61832
469,Danville,Comfort Suites,864 Ben Ali Dr,40422
470,Danville,Innkeeper Danville West,3020 Riverside Dr,24541
471,Danville,Pine Barn Inn,1 Pine Barn Pl,17821
472,Danville,Sleep Inn And Suites Danville,361 Lynch Dr,61834
473,Davenport,Days Inn,3202 E Kimberly Rd,52807
474,Davenport,Hampton Inn Orlando-Maingate South,44117 Highway 27,33897
475,Davis,Turner Falls Inn,5144 Highway 77 S,73030
476,Dayton,Best Western Dayton,7835 Rhea County Hwy,37321
477,Dayton,Drury Inn Suites Dayton North,6616 Miller Ln,45414
478,Dayton,Hawthorn Suites By Wyndham Dayton North,7070 Poe Ave,45414
479,Dayton,Red Roof Inn Dayton North Airport,7370 Miller Ln,45414
